"Solr","Solr"
"General","Allgemein"
"Is active","Ist aktiv"
"Is active for Search","Ist aktiv für Suche"
"Is active for Autosuggest","Ist aktiv für Suchvorschläge"
"Activate Logging","Logging aktivieren"
"The logs can be found at var/log/solr.log. Make sure to have logging activated.","Die Logs befinden sich unter var/log/solr.log. Achtung: Logging muss aktiviert sein."
"Activate Debug","Debug Modus aktivieren"
"Priority for the Solr fields, will be fetched from db and the logging is activated.","Priorität für die Solr Felder wird aus der DB geholt und die Protokollierung ist aktiviert."
"Solr Server","Solr-Server"
"Host","Host"
"Example: localhost, 192.168.46.102","Beispiel: localhost, 192.168.46.102"
"Server Port","Server-Port"
"Example: 8081","Beispiel: 8081"
"Path","Pfad"
"Example: /solr/","Beispiel: /solr/"
"Core","Core"
"Example: collection1, core0","Beispiel: collection1, core0"
"Sensitivity for Search","Sensibilität für Suche"
"Sensitivity for Autosuggest","Sensibilität für Suchvorschläge"
"Value between 0 and 1. Smaller values mean more fuzzy search results.","Wert zwischen 0 und 1. Je kleiner, desto unschärfer."
"Minimum results, if smaller active fuzzy", "Minimum Ergebnisse, wenn kleiner dann Fuzzy aktivieren"
"Number of Sufficient Direct Search Results","Anzahl ausreichender direkter Suchergebnisse"
"Number of Sufficient Direct Search Results for Autosuggest","Anzahl ausreichender direkter Suchergebnisse für Suchvorschläge"
"If there are at least this many search results, fuzzy search will not be performed. If you enter 0 or no value, fuzzy search will always be performed.","Gibt es mindestens so viele direkte Suchergebnisse, wird keine unscharfe Suche durchgeführt. Wird der Wert 0 oder kein Wert eingetragen, wird die unscharfe Suche immer durchgeführt."
"If there are at least this many search results for autosuggest, fuzzy search will not be performed. If you enter 0 or no value, fuzzy search will always be performed.","Gibt es mindestens so viele direkte Suchergebnisse, wird keine unscharfe Suche durchgeführt. Wird der Wert 0 oder kein Wert eingetragen, wird die unscharfe Suche immer durchgeführt."
"Fuzzy Search","Unscharfe Suche"
"Solr Boost","Solr Boost"
"Solr Priority","Solr-Priorität"
"1 is default, use higher numbers for higher priority.","1 ist Standard, höhere Werte für höhere Priorität"
"Search Results","Suchergebnisse"
"Use HTML from Solr Index","HTML vom Solr-Index verwenden"
"Name of summary field to search in it","Name des Ergebnis-Feldes worin gesucht werden soll"
"Search Fields over all fields","Suche über alle Felder"
